Iteration, Program, Size, Current Time, Running Average
4, ./omp, 256, 0.000227, .00046050000000000000
5, ./omp, 256, 0.001380, .00064440000000000000
6, ./omp, 256, 0.000187, .00056816666666666666
7, ./omp, 256, 0.000178, .00051242857142857142
8, ./omp, 256, 0.000177, .00047050000000000000
9, ./omp, 256, 0.001806, .00061888888888888888
10, ./omp, 256, 0.000203, .00057730000000000000
1, ./omp, 512, 0.001325, .00132500000000000000
2, ./omp, 512, 0.000548, .00093650000000000000
3, ./omp, 512, 0.000511, .00079466666666666666
4, ./omp, 512, 0.002310, .00117350000000000000
5, ./omp, 512, 0.000479, .00103460000000000000
6, ./omp, 512, 0.000462, .00093916666666666666
7, ./omp, 512, 0.000484, .00087414285714285714
8, ./omp, 512, 0.004365, .00131050000000000000
9, ./omp, 512, 0.000483, .00121855555555555555
10, ./omp, 512, 0.000519, .00114860000000000000
1, ./omp, 1024, 0.001588, .00158800000000000000
2, ./omp, 1024, 0.001590, .00158900000000000000
3, ./omp, 1024, 0.008078, .00375200000000000000
4, ./omp, 1024, 0.002401, .00341425000000000000
5, ./omp, 1024, 0.001588, .00304900000000000000
6, ./omp, 1024, 0.003257, .00308366666666666666
7, ./omp, 1024, 0.002434, .00299085714285714285
8, ./omp, 1024, 0.001600, .00281700000000000000
9, ./omp, 1024, 0.001708, .00269377777777777777
10, ./omp, 1024, 0.001890, .00261340000000000000
1, ./omp, 2048, 0.006122, .00612200000000000000
2, ./omp, 2048, 0.006098, .00611000000000000000
3, ./omp, 2048, 0.006130, .00611666666666666666
4, ./omp, 2048, 0.006242, .00614800000000000000
5, ./omp, 2048, 0.006089, .00613620000000000000
6, ./omp, 2048, 0.006097, .00612966666666666666
7, ./omp, 2048, 0.011864, .00694885714285714285
8, ./omp, 2048, 0.006030, .00683400000000000000
9, ./omp, 2048, 0.006121, .00675477777777777777
10, ./omp, 2048, 0.006098, .00668910000000000000
1, ./omp, 4096, 0.024099, .02409900000000000000
2, ./omp, 4096, 0.023964, .02403150000000000000
3, ./omp, 4096, 0.024139, .02406733333333333333
4, ./omp, 4096, 0.025633, .02445875000000000000
5, ./omp, 4096, 0.025660, .02469900000000000000
6, ./omp, 4096, 0.023896, .02456516666666666666
7, ./omp, 4096, 0.024215, .02451514285714285714
8, ./omp, 4096, 0.040441, .02650587500000000000
9, ./omp, 4096, 0.025846, .02643255555555555555
10, ./omp, 4096, 0.024076, .02619690000000000000
1, ./omp, 8192, 0.103285, .10328500000000000000
2, ./omp, 8192, 0.101825, .10255500000000000000
3, ./omp, 8192, 0.095105, .10007166666666666666
4, ./omp, 8192, 0.098976, .09979775000000000000
5, ./omp, 8192, 0.097072, .09925260000000000000
6, ./omp, 8192, 0.119335, .10259966666666666666
7, ./omp, 8192, 0.095042, .10152000000000000000
8, ./omp, 8192, 0.095198, .10072975000000000000
9, ./omp, 8192, 0.095788, .10018066666666666666
10, ./omp, 8192, 0.095369, .09969950000000000000
1, ./omp, 16384, 0.388487, .38848700000000000000
2, ./omp, 16384, 0.399637, .39406200000000000000
3, ./omp, 16384, 0.414270, .40079800000000000000
4, ./omp, 16384, 0.415505, .40447475000000000000
5, ./omp, 16384, 0.406975, .40497480000000000000
6, ./omp, 16384, 0.397271, .40369083333333333333
7, ./omp, 16384, 0.401854, .40342842857142857142
8, ./omp, 16384, 0.412677, .40458450000000000000
9, ./omp, 16384, 0.414296, .40566355555555555555
10, ./omp, 16384, 0.389443, .40404150000000000000
1, ./omp, 32768, 1.555697, 1.55569700000000000000
2, ./omp, 32768, 1.577217, 1.56645700000000000000
3, ./omp, 32768, 1.581287, 1.57140033333333333333
4, ./omp, 32768, 1.659726, 1.59348175000000000000
5, ./omp, 32768, 1.565719, 1.58792920000000000000
6, ./omp, 32768, 1.589180, 1.58813766666666666666
7, ./omp, 32768, 1.682169, 1.60157071428571428571
8, ./omp, 32768, 1.655515, 1.60831375000000000000
9, ./omp, 32768, 1.665682, 1.61468800000000000000
10, ./omp, 32768, 1.658176, 1.61903680000000000000
1, ./omp_tiling, 64, 0.000093, .00009300000000000000
2, ./omp_tiling, 64, 0.000091, .00009200000000000000
3, ./omp_tiling, 64, 0.000091, .00009166666666666666
4, ./omp_tiling, 64, 0.000097, .00009300000000000000
5, ./omp_tiling, 64, 0.000951, .00026460000000000000
6, ./omp_tiling, 64, 0.000614, .00032283333333333333
7, ./omp_tiling, 64, 0.000098, .00029071428571428571
8, ./omp_tiling, 64, 0.000117, .00026900000000000000
9, ./omp_tiling, 64, 0.000088, .00024888888888888888
10, ./omp_tiling, 64, 0.000086, .00023260000000000000
1, ./omp_tiling, 128, 0.000151, .00015100000000000000
2, ./omp_tiling, 128, 0.000106, .00012850000000000000
3, ./omp_tiling, 128, 0.000111, .00012266666666666666
4, ./omp_tiling, 128, 0.000107, .00011875000000000000
5, ./omp_tiling, 128, 0.000105, .00011600000000000000
6, ./omp_tiling, 128, 0.001205, .00029750000000000000
7, ./omp_tiling, 128, 0.020849, .00323342857142857142
8, ./omp_tiling, 128, 0.000116, .00284375000000000000
9, ./omp_tiling, 128, 0.000114, .00254044444444444444
10, ./omp_tiling, 128, 0.000386, .00232500000000000000
1, ./omp_tiling, 256, 0.000171, .00017100000000000000
2, ./omp_tiling, 256, 0.000171, .00017100000000000000
3, ./omp_tiling, 256, 0.010112, .00348466666666666666
4, ./omp_tiling, 256, 0.000183, .00265925000000000000
5, ./omp_tiling, 256, 0.000175, .00216240000000000000
6, ./omp_tiling, 256, 0.000227, .00183983333333333333
7, ./omp_tiling, 256, 0.000190, .00160414285714285714
8, ./omp_tiling, 256, 0.000177, .00142575000000000000
9, ./omp_tiling, 256, 0.005335, .00186011111111111111
10, ./omp_tiling, 256, 0.000176, .00169170000000000000
1, ./omp_tiling, 512, 0.010853, .01085300000000000000
2, ./omp_tiling, 512, 0.000502, .00567750000000000000
3, ./omp_tiling, 512, 0.000465, .00394000000000000000
4, ./omp_tiling, 512, 0.000453, .00306825000000000000
5, ./omp_tiling, 512, 0.000462, .00254700000000000000
6, ./omp_tiling, 512, 0.000466, .00220016666666666666
7, ./omp_tiling, 512, 0.000448, .00194985714285714285
8, ./omp_tiling, 512, 0.000659, .00178850000000000000
9, ./omp_tiling, 512, 0.000494, .00164466666666666666
10, ./omp_tiling, 512, 0.000469, .00152710000000000000
1, ./omp_tiling, 1024, 0.001914, .00191400000000000000
2, ./omp_tiling, 1024, 0.001640, .00177700000000000000
3, ./omp_tiling, 1024, 0.005474, .00300933333333333333
4, ./omp_tiling, 1024, 0.001567, .00264875000000000000
5, ./omp_tiling, 1024, 0.001526, .00242420000000000000
6, ./omp_tiling, 1024, 0.001648, .00229483333333333333
7, ./omp_tiling, 1024, 0.007223, .00299885714285714285
8, ./omp_tiling, 1024, 0.002159, .00289387500000000000
9, ./omp_tiling, 1024, 0.001552, .00274477777777777777
10, ./omp_tiling, 1024, 0.001541, .00262440000000000000
1, ./omp_tiling, 2048, 0.006176, .00617600000000000000
2, ./omp_tiling, 2048, 0.005899, .00603750000000000000
3, ./omp_tiling, 2048, 0.005864, .00597966666666666666
4, ./omp_tiling, 2048, 0.005949, .00597200000000000000
5, ./omp_tiling, 2048, 0.020707, .00891900000000000000
6, ./omp_tiling, 2048, 0.006589, .00853066666666666666
7, ./omp_tiling, 2048, 0.006427, .00823014285714285714
8, ./omp_tiling, 2048, 0.005900, .00793887500000000000
9, ./omp_tiling, 2048, 0.006011, .00772466666666666666
10, ./omp_tiling, 2048, 0.005936, .00754580000000000000
1, ./omp_tiling, 4096, 0.023094, .02309400000000000000
2, ./omp_tiling, 4096, 0.023181, .02313750000000000000
3, ./omp_tiling, 4096, 0.023167, .02314733333333333333
4, ./omp_tiling, 4096, 0.023136, .02314450000000000000
5, ./omp_tiling, 4096, 0.023227, .02316100000000000000
6, ./omp_tiling, 4096, 0.032883, .02478133333333333333
7, ./omp_tiling, 4096, 0.023145, .02454757142857142857
8, ./omp_tiling, 4096, 0.023235, .02438350000000000000
9, ./omp_tiling, 4096, 0.023636, .02430044444444444444
10, ./omp_tiling, 4096, 0.023219, .02419230000000000000
1, ./omp_tiling, 8192, 0.092426, .09242600000000000000
2, ./omp_tiling, 8192, 0.098737, .09558150000000000000
3, ./omp_tiling, 8192, 0.099214, .09679233333333333333
4, ./omp_tiling, 8192, 0.092426, .09570075000000000000
5, ./omp_tiling, 8192, 0.095102, .09558100000000000000
6, ./omp_tiling, 8192, 0.107949, .09764233333333333333
7, ./omp_tiling, 8192, 0.111264, .09958828571428571428
8, ./omp_tiling, 8192, 0.115394, .10156400000000000000
9, ./omp_tiling, 8192, 0.092367, .10054211111111111111
10, ./omp_tiling, 8192, 0.103941, .10088200000000000000
1, ./omp_tiling, 16384, 0.389600, .38960000000000000000
2, ./omp_tiling, 16384, 0.505644, .44762200000000000000
3, ./omp_tiling, 16384, 0.380637, .42529366666666666666
4, ./omp_tiling, 16384, 0.389019, .41622500000000000000
5, ./omp_tiling, 16384, 0.378054, .40859080000000000000
6, ./omp_tiling, 16384, 0.380844, .40396633333333333333
7, ./omp_tiling, 16384, 0.390623, .40206014285714285714
8, ./omp_tiling, 16384, 0.382392, .39960162500000000000
9, ./omp_tiling, 16384, 0.376902, .39707944444444444444
10, ./omp_tiling, 16384, 0.413493, .39872080000000000000
1, ./omp_tiling, 32768, 1.520747, 1.52074700000000000000
2, ./omp_tiling, 32768, 1.514192, 1.51746950000000000000
3, ./omp_tiling, 32768, 1.488953, 1.50796400000000000000
4, ./omp_tiling, 32768, 1.490567, 1.50361475000000000000
5, ./omp_tiling, 32768, 1.503812, 1.50365420000000000000
6, ./omp_tiling, 32768, 1.534451, 1.50878700000000000000
7, ./omp_tiling, 32768, 1.532003, 1.51210357142857142857
8, ./omp_tiling, 32768, 1.510032, 1.51184462500000000000
9, ./omp_tiling, 32768, 1.554076, 1.51653700000000000000
10, ./omp_tiling, 32768, 1.480095, 1.51289280000000000000
1, ./mpi, 64, 0.000022, .00002200000000000000
2, ./mpi, 64, 0.000029, .00002550000000000000
3, ./mpi, 64, 0.000028, .00002633333333333333
4, ./mpi, 64, 0.000022, .00002525000000000000
5, ./mpi, 64, 0.000022, .00002460000000000000
6, ./mpi, 64, 0.000021, .00002400000000000000
7, ./mpi, 64, 0.000025, .00002414285714285714
8, ./mpi, 64, 0.000032, .00002512500000000000
9, ./mpi, 64, 0.000029, .00002555555555555555
10, ./mpi, 64, 0.000026, .00002560000000000000
1, ./mpi, 128, 0.000061, .00006100000000000000
2, ./mpi, 128, 0.000069, .00006500000000000000
3, ./mpi, 128, 0.000061, .00006366666666666666
4, ./mpi, 128, 0.000077, .00006700000000000000
5, ./mpi, 128, 0.000070, .00006760000000000000
6, ./mpi, 128, 0.000060, .00006633333333333333
7, ./mpi, 128, 0.000070, .00006685714285714285
8, ./mpi, 128, 0.000056, .00006550000000000000
9, ./mpi, 128, 0.000068, .00006577777777777777
10, ./mpi, 128, 0.000070, .00006620000000000000
1, ./mpi, 256, 0.000240, .00024000000000000000
2, ./mpi, 256, 0.000267, .00025350000000000000
3, ./mpi, 256, 0.000237, .00024800000000000000
4, ./mpi, 256, 0.000238, .00024550000000000000
5, ./mpi, 256, 0.000278, .00025200000000000000
6, ./mpi, 256, 0.000194, .00024233333333333333
7, ./mpi, 256, 0.000192, .00023514285714285714
8, ./mpi, 256, 0.000238, .00023550000000000000
9, ./mpi, 256, 0.000208, .00023244444444444444
10, ./mpi, 256, 0.000192, .00022840000000000000
1, ./mpi, 512, 0.000862, .00086200000000000000
2, ./mpi, 512, 0.000732, .00079700000000000000
3, ./mpi, 512, 0.000778, .00079066666666666666
4, ./mpi, 512, 0.000995, .00084175000000000000
5, ./mpi, 512, 0.000921, .00085760000000000000
6, ./mpi, 512, 0.000844, .00085533333333333333
7, ./mpi, 512, 0.000909, .00086300000000000000
8, ./mpi, 512, 0.001056, .00088712500000000000
9, ./mpi, 512, 0.000832, .00088100000000000000
10, ./mpi, 512, 0.000902, .00088310000000000000
1, ./mpi, 1024, 0.002903, .00290300000000000000
2, ./mpi, 1024, 0.003030, .00296650000000000000
3, ./mpi, 1024, 0.003046, .00299300000000000000
4, ./mpi, 1024, 0.002926, .00297625000000000000
5, ./mpi, 1024, 0.002889, .00295880000000000000
6, ./mpi, 1024, 0.002893, .00294783333333333333
7, ./mpi, 1024, 0.003156, .00297757142857142857
8, ./mpi, 1024, 0.003013, .00298200000000000000
9, ./mpi, 1024, 0.003094, .00299444444444444444
10, ./mpi, 1024, 0.002878, .00298280000000000000
1, ./mpi, 2048, 0.011547, .01154700000000000000
2, ./mpi, 2048, 0.012512, .01202950000000000000
3, ./mpi, 2048, 0.011638, .01189900000000000000
4, ./mpi, 2048, 0.014182, .01246975000000000000
5, ./mpi, 2048, 0.011672, .01231020000000000000
6, ./mpi, 2048, 0.011678, .01220483333333333333
7, ./mpi, 2048, 0.011723, .01213600000000000000
8, ./mpi, 2048, 0.011684, .01207950000000000000
9, ./mpi, 2048, 0.012599, .01213722222222222222
10, ./mpi, 2048, 0.011693, .01209280000000000000
1, ./mpi, 4096, 0.046312, .04631200000000000000
2, ./mpi, 4096, 0.046481, .04639650000000000000
3, ./mpi, 4096, 0.049858, .04755033333333333333
4, ./mpi, 4096, 0.046543, .04729850000000000000
5, ./mpi, 4096, 0.048098, .04745840000000000000
6, ./mpi, 4096, 0.046412, .04728400000000000000
7, ./mpi, 4096, 0.047767, .04735300000000000000
8, ./mpi, 4096, 0.046098, .04719612500000000000
9, ./mpi, 4096, 0.053011, .04784222222222222222
10, ./mpi, 4096, 0.049010, .04795900000000000000
1, ./mpi, 8192, 0.186150, .18615000000000000000
2, ./mpi, 8192, 0.186837, .18649350000000000000
3, ./mpi, 8192, 0.190815, .18793400000000000000
4, ./mpi, 8192, 0.187446, .18781200000000000000
5, ./mpi, 8192, 0.189498, .18814920000000000000
6, ./mpi, 8192, 0.187053, .18796650000000000000
7, ./mpi, 8192, 0.187471, .18789571428571428571
8, ./mpi, 8192, 0.188604, .18798425000000000000
9, ./mpi, 8192, 0.194981, .18876166666666666666
10, ./mpi, 8192, 0.193380, .18922350000000000000
1, ./mpi, 16384, 0.758808, .75880800000000000000
2, ./mpi, 16384, 0.747660, .75323400000000000000
3, ./mpi, 16384, 0.749556, .75200800000000000000
4, ./mpi, 16384, 0.772800, .75720600000000000000
5, ./mpi, 16384, 0.750270, .75581880000000000000
6, ./mpi, 16384, 0.752920, .75533566666666666666
7, ./mpi, 16384, 0.772091, .75772928571428571428
8, ./mpi, 16384, 0.748852, .75661962500000000000
9, ./mpi, 16384, 0.746597, .75550600000000000000
10, ./mpi, 16384, 0.810519, .76100730000000000000
1, ./mpi, 32768, 3.012235, 3.01223500000000000000
2, ./mpi, 32768, 2.994087, 3.00316100000000000000
3, ./mpi, 32768, 3.010201, 3.00550766666666666666
4, ./mpi, 32768, 3.041482, 3.01450125000000000000
5, ./mpi, 32768, 3.020655, 3.01573200000000000000
6, ./mpi, 32768, 3.070790, 3.02490833333333333333
7, ./mpi, 32768, 3.060990, 3.03006285714285714285
8, ./mpi, 32768, 3.021924, 3.02904550000000000000
9, ./mpi, 32768, 3.014718, 3.02745355555555555555
10, ./mpi, 32768, 3.046549, 3.02936310000000000000
1, ./mpi_tiling, 64, 0.000028, .00002800000000000000
2, ./mpi_tiling, 64, 0.000022, .00002500000000000000
3, ./mpi_tiling, 64, 0.000023, .00002433333333333333
4, ./mpi_tiling, 64, 0.000023, .00002400000000000000
5, ./mpi_tiling, 64, 0.000025, .00002420000000000000
6, ./mpi_tiling, 64, 0.000022, .00002383333333333333
7, ./mpi_tiling, 64, 0.000029, .00002457142857142857
8, ./mpi_tiling, 64, 0.000025, .00002462500000000000
9, ./mpi_tiling, 64, 0.000025, .00002466666666666666
10, ./mpi_tiling, 64, 0.000029, .00002510000000000000
1, ./mpi_tiling, 128, 0.000068, .00006800000000000000
2, ./mpi_tiling, 128, 0.000069, .00006850000000000000
3, ./mpi_tiling, 128, 0.000059, .00006533333333333333
4, ./mpi_tiling, 128, 0.000069, .00006625000000000000
5, ./mpi_tiling, 128, 0.000056, .00006420000000000000
6, ./mpi_tiling, 128, 0.000061, .00006366666666666666
7, ./mpi_tiling, 128, 0.000070, .00006457142857142857
8, ./mpi_tiling, 128, 0.000070, .00006525000000000000
9, ./mpi_tiling, 128, 0.000078, .00006666666666666666
10, ./mpi_tiling, 128, 0.000070, .00006700000000000000
1, ./mpi_tiling, 256, 0.000248, .00024800000000000000
2, ./mpi_tiling, 256, 0.000237, .00024250000000000000
3, ./mpi_tiling, 256, 0.000209, .00023133333333333333
4, ./mpi_tiling, 256, 0.000208, .00022550000000000000
5, ./mpi_tiling, 256, 0.000203, .00022100000000000000
6, ./mpi_tiling, 256, 0.000193, .00021633333333333333
7, ./mpi_tiling, 256, 0.000192, .00021285714285714285
8, ./mpi_tiling, 256, 0.000193, .00021037500000000000
9, ./mpi_tiling, 256, 0.000209, .00021022222222222222
10, ./mpi_tiling, 256, 0.000193, .00020850000000000000
1, ./mpi_tiling, 512, 0.000769, .00076900000000000000
2, ./mpi_tiling, 512, 0.001010, .00088950000000000000
3, ./mpi_tiling, 512, 0.000912, .00089700000000000000
4, ./mpi_tiling, 512, 0.000914, .00090125000000000000
5, ./mpi_tiling, 512, 0.001061, .00093320000000000000
6, ./mpi_tiling, 512, 0.001062, .00095466666666666666
7, ./mpi_tiling, 512, 0.000919, .00094957142857142857
8, ./mpi_tiling, 512, 0.000743, .00092375000000000000
9, ./mpi_tiling, 512, 0.000730, .00090222222222222222
10, ./mpi_tiling, 512, 0.000737, .00088570000000000000
1, ./mpi_tiling, 1024, 0.003283, .00328300000000000000
2, ./mpi_tiling, 1024, 0.002997, .00314000000000000000
3, ./mpi_tiling, 1024, 0.002929, .00306966666666666666
4, ./mpi_tiling, 1024, 0.003212, .00310525000000000000
5, ./mpi_tiling, 1024, 0.003104, .00310500000000000000
6, ./mpi_tiling, 1024, 0.002894, .00306983333333333333
7, ./mpi_tiling, 1024, 0.002920, .00304842857142857142
8, ./mpi_tiling, 1024, 0.002890, .00302862500000000000
9, ./mpi_tiling, 1024, 0.002981, .00302333333333333333
10, ./mpi_tiling, 1024, 0.002956, .00301660000000000000
1, ./mpi_tiling, 2048, 0.011597, .01159700000000000000
2, ./mpi_tiling, 2048, 0.011578, .01158750000000000000
3, ./mpi_tiling, 2048, 0.011661, .01161200000000000000
4, ./mpi_tiling, 2048, 0.011733, .01164225000000000000
5, ./mpi_tiling, 2048, 0.011693, .01165240000000000000
6, ./mpi_tiling, 2048, 0.011687, .01165816666666666666
7, ./mpi_tiling, 2048, 0.011692, .01166300000000000000
8, ./mpi_tiling, 2048, 0.012529, .01177125000000000000
9, ./mpi_tiling, 2048, 0.011877, .01178300000000000000
10, ./mpi_tiling, 2048, 0.011543, .01175900000000000000
1, ./mpi_tiling, 4096, 0.048790, .04879000000000000000
2, ./mpi_tiling, 4096, 0.046147, .04746850000000000000
3, ./mpi_tiling, 4096, 0.050485, .04847400000000000000
4, ./mpi_tiling, 4096, 0.046297, .04792975000000000000
5, ./mpi_tiling, 4096, 0.052795, .04890280000000000000
6, ./mpi_tiling, 4096, 0.046144, .04844300000000000000
7, ./mpi_tiling, 4096, 0.053720, .04919685714285714285
8, ./mpi_tiling, 4096, 0.046888, .04890825000000000000
9, ./mpi_tiling, 4096, 0.050031, .04903300000000000000
10, ./mpi_tiling, 4096, 0.046107, .04874040000000000000
1, ./mpi_tiling, 8192, 0.191338, .19133800000000000000
2, ./mpi_tiling, 8192, 0.187577, .18945750000000000000
3, ./mpi_tiling, 8192, 0.189554, .18948966666666666666
4, ./mpi_tiling, 8192, 0.192302, .19019275000000000000
5, ./mpi_tiling, 8192, 0.185534, .18926100000000000000
6, ./mpi_tiling, 8192, 0.185732, .18867283333333333333
7, ./mpi_tiling, 8192, 0.190528, .18893785714285714285
8, ./mpi_tiling, 8192, 0.191870, .18930437500000000000
9, ./mpi_tiling, 8192, 0.195238, .18996366666666666666
10, ./mpi_tiling, 8192, 0.189926, .18995990000000000000
1, ./mpi_tiling, 16384, 0.755649, .75564900000000000000
2, ./mpi_tiling, 16384, 0.753493, .75457100000000000000
3, ./mpi_tiling, 16384, 0.770775, .75997233333333333333
4, ./mpi_tiling, 16384, 0.756709, .75915650000000000000
5, ./mpi_tiling, 16384, 0.759512, .75922760000000000000
6, ./mpi_tiling, 16384, 0.757295, .75890550000000000000
7, ./mpi_tiling, 16384, 0.756785, .75860257142857142857
8, ./mpi_tiling, 16384, 0.755044, .75815775000000000000
9, ./mpi_tiling, 16384, 0.750253, .75727944444444444444
10, ./mpi_tiling, 16384, 0.750503, .75660180000000000000
1, ./mpi_tiling, 32768, 3.016500, 3.01650000000000000000
2, ./mpi_tiling, 32768, 3.006607, 3.01155350000000000000
3, ./mpi_tiling, 32768, 3.008182, 3.01042966666666666666
4, ./mpi_tiling, 32768, 3.010556, 3.01046125000000000000
5, ./mpi_tiling, 32768, 3.040282, 3.01642540000000000000
6, ./mpi_tiling, 32768, 3.011549, 3.01561266666666666666
7, ./mpi_tiling, 32768, 2.998080, 3.01310800000000000000
8, ./mpi_tiling, 32768, 3.071790, 3.02044325000000000000
9, ./mpi_tiling, 32768, 3.024593, 3.02090433333333333333
10, ./mpi_tiling, 32768, 2.996589, 3.01847280000000000000
